,Unnamed: 0,created_date,tweets,sentiment
32,32,2019-05-06,RT @ realmoney : ’ guide @ jimcramer buy avoid @ realDonaldTrump ’ latest China tweet,Positive
33,33,2019-05-06,n't worry much future Medicare - Read latest @ RJPIII @ RealMoney :,Positive
34,34,2019-05-06,bullish bearish Goldman Marley Billion Dollar Whale ?,Neutral
35,35,2019-05-06,Please refer last week 's off charts extensive look n't February 2018 . cogent…,Neutral
36,36,2019-05-06,RT @ TheStreet : 1 . President tweets 2 . Futures plunge 3 . @ JimCramer breaks down means markets,Negative
37,37,2019-05-06,Big piece coming,Neutral
38,38,2019-05-06,thanks kudos ... re-apply take time ...,Positive
39,39,2019-05-06,feasible takes long time get supply chain right ... .,Positive
40,40,2019-05-06,"beg pardon , n't bullish",Neutral
41,41,2019-05-06,"Good , cash , like , take time , pressure buy.. See `` '' run toward health care s…",Positive
42,42,2019-05-06,'s plan ! !,Neutral
43,43,2019-05-05,means buy opening . would like see first ... .,Positive
44,44,2019-05-05,RT @ WaalStraater : @ jimcramer 2008 photo,Neutral
45,45,2019-05-05,Remember said buying dip ... .well go ! ! !,Neutral
46,46,2019-05-05,glad good time ... Headed back dinner ! ! @ BarSanMiguelBK,Positive
47,47,2019-05-05,RT @ WaalStraater : @ jimcramer photo 1997,Neutral
48,48,2019-05-05,yep,Neutral
49,49,2019-05-05,art deal ? recognition economy stronger n't need ? ? ?,Neutral
50,50,2019-05-05,think last week 's plan tha ti hounded hounded . Ca n't start suggesting profits said…,Neutral
51,51,2019-05-05,RT @ BenBSP : @ GuyAdami @ jimcramer @ davidfaber Looks like guys CORRECT ... trade deal time soon ... China reason do…,Neutral
52,52,2019-05-05,RT @ dwyerstrategy : @ DougKass @ tomkeene @ jimcramer Set up pause dougie,Neutral
53,53,2019-05-05,Well feared talked trimming . Uber day tariff $ 200 bill…,Neutral
54,54,2019-05-05,sounds like deal might off ... fear disastrous Uber deal ...,Negative
55,55,2019-05-05,"Maybe , many way underinvested dont know quants po…",Positive
56,56,2019-05-05,"wife , Lisa , prepares pick up surgery collarbone injury checks out Shangh…",Neutral
57,57,2019-05-05,"Silicon Labs ' CEO Talks @ EricJhonsa IoT , 5G Data Center Opportunities",Negative
58,58,2019-05-05,RT @ TheStreet : . @ JimCramer 's,Neutral
59,59,2019-05-05,Always happy take pictures guests @ BarSanMiguelBK # CincoDeMayo2019,Positive
60,60,2019-05-05,guy ; stock -- fantastic.. wish market would come down could get !,Positive
61,61,2019-05-05,"wondering going hit @ BarSanMiguelBK today Cinco de Mayo kidding , course ! …",Neutral
62,62,2019-05-05,MUST watch ...,Neutral
63,63,2019-05-05,$ CVS certainly valley stock know nothing done change health care either party .,Positive
64,64,2019-05-05,RT @ TheStreet : 40 years business taught @ JimCramer thing two look stocks heading earnings,Neutral
65,65,2019-05-05,critics know one knocks ...,Neutral
66,66,2019-05-05,pure joy ! ! ! @ BarSanMiguelBK many nice patrons ! !,Positive
67,67,2019-05-04,Always fun @ BarSanMiguelBK,Positive
68,68,2019-05-04,Glad @ MadMoneyOnCNBC working !,Positive
69,69,2019-05-04,"Yep , trying raise little cash trade deal underwriters botch Uber ...",Negative
70,70,2019-05-04,RT @ TheStreet : “ Whether $ BNSF sacrifice volume service improved operating ratio remain seen . Buffett…,Neutral
71,71,2019-05-04,much complacency ?,Positive
72,72,2019-05-04,RT @ TheStreet : Miss Buffett say $ WFC ?,Neutral
73,73,2019-05-04,"RT @ TheStreet : Even old age , Berkshire Hathaway chairman CEO Warren Buffett willing learn others . ⁦ @ KevinCurranRM⁩ takes…",Positive
74,74,2019-05-04,RT @ TheStreet : little reading @ KevinCurranRM Berkshire breaks lunch,Negative
75,75,2019-05-04,RT @ TheStreet : . @ JimCramer 's,Neutral
76,76,2019-05-04,Remember turn JDSU JDS- Uniphase saying went ; Sell Us n't Sue us . call t…,Neutral
77,77,2019-05-04,think unfair . outright bullish ages . said over over get m…,Negative
78,78,2019-05-04,someone created one larger subscription based entities without much way resources tel…,Positive
79,79,2019-05-04,"Wow , day recognition . grateful ... big club call coming up thursday . trial -o…",Positive
80,80,2019-05-04,"RT @ AdamPlotkin : @ Maxs4152 @ Sarge986 @ bm6894 @ TheStreet @ jimcramer @ renegadestyle @ LaurieInMadison @ marKatRoss Thomas , subscribe Actio…",Neutral
81,81,2019-05-04,Total agreement ever since recruited fold .,Neutral
82,82,2019-05-04,RT @ BeckyQuick : Buffett : “ would hesitate one second get 737 Max day ’ recertified . ” # BRK2019,Neutral
83,83,2019-05-04,,Neutral
84,84,2019-05-04,RT @ TheStreet : know 's right moment buy popular stock ? # AskCramer :,Positive
85,85,2019-05-03,"RT @ carlquintanilla : Reflecting $ BYND , @ jimcramer suggests : `` mom pops start thinking , 'It 's easy money . 'm gon na call…",Positive
86,86,2019-05-03,"RT @ TheStreet : things get 'frothy , ' 's time portfolio trimming . Check out moves @ JimCramer Action Alerts Plu…",Positive
87,87,2019-05-03,"Nah , guy confused Molycorp Stark Industries",Negative
88,88,2019-05-03,wowza ! thank,Neutral
89,89,2019-05-03,RT @ TheStreet : time Google $ GOOGL break out Search Youtube revenue ? @ EricJhonsa breaks down :,Negative
90,90,2019-05-03,smart,Positive
91,91,2019-05-03,sold bonds years Goldman actually know selling bonds Goldman ... Let 's stay focused re…,Neutral
92,92,2019-05-03,RT @ TheStreet : Happy ( almost ) Cinco De Mayo ! Constellation Brands $ STZ CEO Bill Newlands @ TonyTheStreet talked beer business a…,Positive
93,93,2019-05-03,RT @ TheStreet : Beyond Meat give investors indigestion ? @ JimCramer gives advice $ BYND :,Neutral
94,94,2019-05-03,RT @ TheStreet : tell ’ time lighten up stocks portfolio…even ones like ? @ JimCramer is…,Neutral
95,95,2019-05-03,RT @ realmoney : Elon Musk helping fund Tesla 's $ TSLA needs borrowing $ 1.6 billion 2 % form convertible bond offered b…,Neutral
96,96,2019-05-03,'s like lie impunity ? never Molycorp site google Molycorp wil…,Neutral
97,97,2019-05-03,"RT @ TheStreet : Yes , @ JimCramer loves $ AMZN stock . mean 's time buy ? necessarily :",Negative
98,98,2019-05-03,"RT @ Genpact : CEO @ tyagarajan talks earnings , # AI motorsport , tonight 6pm ET @ MadMoneyOnCNBC @ jimcramer . Tune ! …",Neutral
99,99,2019-05-03,RT @ Zuora : @ CaterpillarInc exactly like # SaaS business ? @ tientzuo breaks down @ jimcramer,Positive
100,100,2019-05-03,RT @ TheStreet : Headed see Oracle ? @ KevinCurranRM breaks down expect Warren Buffett Berkshire 's big meeting week…,Negative
101,101,2019-05-03,RT @ TheStreet : Tesla 's blueprint success sit China ? @ JimCramer breaks down $ TSLA 's move raise capital :,Positive
102,102,2019-05-03,RT @ TheStreet : @ marKatRoss buying discounted TV Walmart say economy ? @ JimCramer talks jobs number :,Neutral
103,103,2019-05-03,RT @ DougKass : way Warren Buffett deviating value approach purchase $ AMZN . Buffett/Berkshire making sta…,Neutral
104,104,2019-05-03,much obliged ...,Positive
105,105,2019-05-03,"Speculators buying Apache , Concho EOG thinking could getting Chevron bid . cheap get play ...",Positive
106,106,2019-05-03,RT @ TheStreet : $ AAPL mastered blueprint success ?,Positive
107,107,2019-05-03,RT @ carlquintanilla : @ AlphaBlackwell @ CNBC @ SquawkStreet @ jimcramer Cramer air today literally said 's worried signs froth,Neutral
108,108,2019-05-03,rally $ FB remains one books.. .I think done really lost handful advertisers,Positive
109,109,2019-05-03,"RT @ TheStreet : Warren goes shopping , Tesla wants go shopping $ BYND goes beyond expectations . @ JimCramer @ marKatRoss bre…",Positive
110,110,2019-05-03,"@ elonmusk Congratz capital raise ... well done , well placed ... .",Neutral
111,111,2019-05-03,$ OXY pays way much money ... silly,Negative
112,112,2019-05-03,Mad Dash coming up -- standing !,Negative
113,113,2019-05-03,RT @ carlquintanilla : * Dovish Fed . * 103 months job growth . * IPO 's nearly tripling day . `` anyone believe good to…,Positive
114,114,2019-05-03,Living dream !,Neutral
115,115,2019-05-03,"RT @ SquawkStreet : COMING UP : @ VP Mike Pence live interview - talking jobs Fed , market 's record run much - t…",Positive
116,116,2019-05-03,"Watching Jobs Report , Buffett 's Amazon Play Planet Fitness : @ Sarge986 Market Recon",Neutral
117,117,2019-05-03,@ SullyCNBC thanks shoutout ! !,Positive
118,118,2019-05-03,"bear fan , say..",Neutral
119,119,2019-05-03,"thought drafted okay . Skins best summer.. come fall , forget .",Positive
120,120,2019-05-03,much love NBA ... winning..,Positive
121,121,2019-05-03,"RT @ TheStreet : India holding biggest election history , brought @ BeingAnuzThapa break down numbers :",Negative
122,122,2019-05-03,RT @ TheStreet : Go inside future electric cars :,Neutral
123,123,2019-05-02,RT @ TheStreet : 's first move Fed decision ? # AskCramer,Positive
124,124,2019-05-02,Everyone talked $ ATVI call seemed instructed say `` better expected ! :,Positive
125,125,2019-05-02,Tableau Data talking inflection second half.. Good call . SWKS thought good maybe much `` 5G '' …,Positive
126,126,2019-05-02,always tell people uneasy . get twice many `` opposite Cramer '' tweets . be…,Positive
127,127,2019-05-02,RT @ realmoney : need worried certain aspects market - @ jimcramer,Positive
128,128,2019-05-02,RT @ ChrisJVersace : heard @ jimcramer talk book @ tientzuo yesterday @ CramerClub @ TheStreet video ’ time…,Neutral
129,129,2019-05-02,oh boy ... 's much stock out there.. 's take ! ! ! ..,Positive
130,130,2019-05-02,Beyond Meat beyond belief probably n't even done going higher ... .maybe 's worried ...,Positive
131,131,2019-05-02,RT @ TheStreet : $ TWLO CFO tells @ TiernanRayTech : `` rare company terms 're . '',Positive
132,132,2019-05-02,RT @ TheStreet : 's behind insane run @ zynga $ ZNGA stock ? @ TheStreet 's @ AnnieGaus spoke CEO Frank Gibeau :,Negative
133,133,2019-05-02,RT @ TheStreet : Fed signal sell May go away ? 's @ JimCramer says 's hard . Read full take @ RealMo…,Positive
134,134,2019-05-02,Anton Wahlman,Neutral
135,135,2019-05-02,$ QCOM @ RealMoney 's # StockoftheDay,Neutral
136,136,2019-05-02,@ ReginaGilgan joins fun !,Positive
137,137,2019-05-02,"RT @ TheStreet : 've heard @ JimCramer 's take $ QCOM , head over @ RealMoney comprehensive # StockoftheDay coverage :",Neutral
138,138,2019-05-02,RT @ MadMoneyOnCNBC : today 's action part market 'breather ' @ OptionPit predicted earlier week ? @ JimCramer detailed action…,Positive
139,139,2019-05-02,RT @ TheStreet : FAANG stocks perform earnings season ? Report card :,Neutral
140,140,2019-05-02,Great John Salley swings ; visionary investor vegan foods : Beyond Meat !,Positive
141,141,2019-05-02,3M good balance sheet n't executing well . GE executing well bad balance sheet .,Positive
142,142,2019-05-02,Beyond Meat -- $ BYND up 34.. exactly n't want see . classic bad ...,Negative
143,143,2019-05-02,RT @ MadMoneyOnCNBC : May 13th kicks off # NationalWomensHealthWeek & amp ; @ JimCramer getting jump start exclusive interview the…,Neutral
144,144,2019-05-02,Remember `` trim '' call simply sync telling club members several weeks ...,Neutral
145,145,2019-05-02,@ DougKass shorting bonds,Neutral
146,146,2019-05-02,"RT @ TheStreet : nothing else , @ JimCramer says investors take @ ElonMusk possibly buying $ TSLA shares 'sign conviction.…",Neutral
147,147,2019-05-02,RT @ TheStreet : . @ cbdmd_usa first CBD company list U.S. stock exchange . CEO @ MartySumichrast @ bubbawatson talk future…,Positive
148,148,2019-05-02,RT @ TheStreet : “ would sell stocks nine ways Sunday caved would indicate fallen weird banana repub…,Negative
149,149,2019-05-02,RT @ TMAN1138pm : Jim referencing # JoseyWales ... . @ jimcramer @ CNBC # CNBC,Neutral
150,150,2019-05-02,Great -- legitimate `` strongman '' needed ...,Positive
151,151,2019-05-02,wrong -- @ davidfaber multitask like nobody 's busniess ...,Negative
152,152,2019-05-02,RT @ realmoney : Disappointed Jerome Powell ? @ jimcramer says go something else money,Negative
153,153,2019-05-02,"RT @ LisaSu : Capping off busy day NY , enjoyed talking @ jimcramer @ MadMoneyOnCNBC . Super fun visit set ! Thanks Jim !",Positive
154,154,2019-05-02,thinking exact thing tonight.. sure.. compare..,Positive
155,155,2019-05-02,'s actually picture saying buy May -- need new translator,Positive
156,156,2019-05-01,RT @ TheStreet : . @ TonyTheStreet sat down Dine Brands $ DIN CEO Steve Joyce . Watch :,Negative
157,157,2019-05-01,RT @ MadMoneyOnCNBC : 're worried history repeating - think 1987 1999 - @ JimCramer says stay calm . 's,Positive
158,158,2019-05-01,RT @ ohhushmusic : @ TheStreet @ jimcramer @ realmoney new fave @ JimCramer video all-time ! ! ! # idiots # charlatans # frauds # knaves,Negative
159,159,2019-05-01,much obliged ... .,Positive
160,160,2019-05-01,. @ EricJhonsa : $ AMD 's Latest Earnings Report n't Upend Investor Hopes Big Second Half,Positive
161,161,2019-05-01,'Medicare ' Efforts Rightfully Weigh # StockoftheDay CVS Shareholder Minds - @ KevinCurranRM,Neutral
162,162,2019-05-01,RT @ TheStreet : sent $ JNJ past $ 140 ? @ JimCramer breaks down :,Negative
163,163,2019-05-01,"RT @ TheStreet : Apple n't innovative , anyone ? Read @ JimCramer 's full take $ AAPL over @ RealMoney :",Positive
164,164,2019-05-01,RT @ TheStreet : tell-tale signs company set beat earnings estimates ? question @ JimCramer ? # AskCramer : h…,Neutral
165,165,2019-05-01,RT @ TheStreet : reminder @ EricJhonsa Hulu could real magic $ DIS,Positive
166,166,2019-05-01,Alphabet 's $ GOOGL Revenue Miss Paradoxically Shows Strength Digital Ad Biz via Jon Markman,Neutral
167,167,2019-05-01,RT @ TheStreet : things @ KevinCurranRM watching # StockoftheDay $ CVS surges earnings :,Neutral
168,168,2019-05-01,@ ScottWapnerCNBC thanks plug -- fan fave $ AMD 's lisa su tonight @ jimcramer,Positive
169,169,2019-05-01,Mr . Guest Gandhi today.. thanks @ ScottWapnerCNBC,Positive
170,170,2019-05-01,Love Dan Niles . Remember visiting office 90s ; surprised Dan bucking cycle histories ... …,Positive
171,171,2019-05-01,TS- understand subscription economy . go study Zuora ... Tzuo.. understand power o…,Neutral
172,172,2019-05-01,"Tony represent funeral march company amazing , . 100 point march -- 100 points wrong way . B…",Positive
173,173,2019-05-01,"@ ScottWapnerCNBC taking over , ! ! TS brilliant.. better right brilliant",Positive
174,174,2019-05-01,"RT @ TheStreet : watch $ APA , $ QCOM $ XPO ? @ JimCramer walks expect bell :",Neutral
175,175,2019-05-01,okay wrong sound really smart ... . would rather right consistent trade ...,Positive
176,176,2019-05-01,"Yes , Domino ! ! !",Neutral
177,177,2019-05-01,"@ ScottWapnerCNBC breath fresh air -- nice pushback , Really great ! ! Go Scotty ! ! !",Positive
178,178,2019-05-01,@ ScottWapnerCNBC understand process . W L coach L got wrong . you…,Negative
179,179,2019-05-01,better right wrong choosing stocks @ HalftimeReport,Positive
180,180,2019-05-01,", want respectful want help people make money . Antithetical process know",Positive
181,181,2019-05-01,propensity analyst wrong stay wrong often unbecoming . must reasonable disagree ... . @ ScottWapnerCNBC,Negative
182,182,2019-05-01,Tony Sacconaghi continues surprised well Apple says n't well . Really ex…,Positive
183,183,2019-05-01,"RT @ TheStreet : moment invest CVS ? @ JimCramer , says wait , despite earnings beat . Catch latest # StockoftheDay $ C…",Positive
184,184,2019-05-01,RT @ marfgilbert : . @ jimcramer 's Alphabet wish list @ carlquintanilla @ davidfaber,Neutral
185,185,2019-05-01,RT @ TheStreet : . @ EricJhonsa breaks down investors take away latest $ FB announcements,Positive
186,186,2019-05-01,"RT @ TheDomino : interesting point relative comparison : Apple share buybacks ... Over last decade , $ AAPL spent over $ 260 bill…",Positive
187,187,2019-05-01,departure Carol Tome blow Home Depot -- fine ..www.actiomalertsplus.com ... .,Positive
188,188,2019-05-01,"RT @ TheStreet : Alright , saw strong earnings $ AAPL yesterday . investors expecting rest 2019 ? @ ZevFi…",Positive
189,189,2019-05-01,RT @ realmoney : Nobody thought could happen . Nobody @ jimcramer . latest earnings report bears out Jim Cramer keeps saying -…,Positive
190,190,2019-05-01,"RT @ TheStreet : Happy Wednesday ! Jim Cramer Katherine Ross back insight need navigate earnings $ AAPL , # Stockoft…",Positive
191,191,2019-05-01,"RT @ TheStreet : get started $ 10,000 ? # AskCramer question :",Neutral
192,192,2019-05-01,Pro Cramer Human says yes ... .,Neutral
193,193,2019-05-01,wish,Neutral
194,194,2019-05-01,@ KNegandhiESPN worry low averages @ Phillies opened purse strings…,Neutral
195,195,2019-05-01,new watch ? miniaturized phone sorts great health implications ...,Positive
196,196,2019-05-01,Sell Chevron off idea come back $ APC would stun me.. @ davidfaber,Neutral
197,197,2019-05-01,Let sellers drill bids $ CVS . n't abet them.. Let blast out take go get better price .,Positive
198,198,2019-05-01,Totally hundo p,Neutral
199,199,2019-05-01,YES -- - $ AAPL,Neutral
200,200,2019-05-01,RT @ TheStreet : case missed : Apple $ AAPL edition,Neutral
201,201,2019-05-01,-- got better better,Positive
202,202,2019-05-01,RT @ RGletter : @ jimcramer Facebook $ FB . beginning . FB forefront VR AR tech eventually big…,Neutral
203,203,2019-05-01,"RT @ MadMoneyOnCNBC : . @ JimCramer : `` rational world , Amazon Facebook would 've rallied news 're beating stuffing o…",Neutral
204,204,2019-05-01,hmmmm ... .potential top show tonight ! !,Positive
205,205,2019-05-01,RT @ RevShark : Fed Upset Apple Cart ? Wednesday 's positive open Apple 's surprise earnings beat complicated FOMC int…,Negative
206,206,2019-05-01,indeed !,Neutral
207,207,2019-05-01,Stock day $ CVS ! ! ! !,Neutral
208,208,2019-05-01,"Closing China deal ? Apple earnings , infrastructure stocks : @ Sarge986 Market Recon",Neutral
209,209,2019-05-01,high costs cutting risk ? @ RJPIII breaking down Retirement Daily :,Negative
210,210,2019-05-01,struggle find another company besides Apple created much wealth under one person yet pers…,Positive
211,211,2019-05-01,growing tired people off air criticizing Tim Cook stewardship Apple . consider al…,Negative
212,212,2019-05-01,Always nice spend time guests @ BarSanMiguelBK ! !,Positive
213,213,2019-05-01,"RT @ TheStreet : “ Look , stupid stupid . difference stocks n't boxes chocolate . days like Tuesday , chocolate 's a…",Negative
214,214,2019-04-30,RT @ TheStreet : predict company miss earnings ? @ JimCramer breaks down 3 telling signs :,Negative
215,215,2019-04-30,Darn CVS running quarter . thing nasty ...,Negative
216,216,2019-04-30,"RT @ TheStreet : keeps @ JimCramer up night ? @ ElonMusk , ‘ shallowfake ’ comment took Cramer back second grade . might as…",Neutral
217,217,2019-04-30,Apple -- n't trade ?,Neutral
218,218,2019-04-30,RT @ TheStreet : # StockoftheDay Apple $ AAPL investor ’ eye tech giant take bite out FAANG stocks ? @ EricJho…,Neutral
219,219,2019-04-30,RT @ ZevFima : Investors Need Know Apple ( @ RealMoney Stock Day ) Going Second Half 2019 ! ! ! Ongoing coverage p…,Negative
220,220,2019-04-30,"RT @ TheStreet : `` 're best class ... get ' B , ' people hate . '' 's @ JimCramer disappointed $ GOOGL e…",Negative
221,221,2019-04-30,RT @ mdiaak54 : Vodafone Finds Hidden Backdoors Huawei Network Equipment | Zero Hedge,Negative
222,222,2019-04-30,RT @ TheStreet : @ elonmusk Brought up interesting memories @ JimCramer :,Positive
223,223,2019-04-30,RT @ TheStreet : 's @ EricJhonsa thinks $ NXPI stock looking cheap earnings beat :,Positive
224,224,2019-04-30,Alphabet 's quarter : bump road window opportunity ?,Neutral
225,225,2019-04-30,RT @ TheStreet : . @ JimCramer n't expecting great quarter $ AAPL . 's 's watching :,Positive
226,226,2019-04-30,RT @ TheStreet : $ AAPL portfolio FAANG bite ? @ AnnieGaus breaks down need know :,Negative
227,227,2019-04-30,Microsoft $ MSFT CEO firing cylinders,Neutral
228,228,2019-04-30,"RT @ TheStreet : Shallowfake ? @ JimCramer give definition talk $ GOOGL , $ AAPL goes live @ marKatRoss 10 ET…",Positive
229,229,2019-04-30,RT @ TheStreet : case missed : $ GOOGL edition,Neutral
230,230,2019-04-30,hate trash -but $ GOOGL ugh..,Negative
231,231,2019-04-30,"Hey , Apple , 's @ Sarge986 wants hear",Positive
232,232,2019-04-30,thought Shallowfake reminiscent father viewed me.. go,Neutral
233,233,2019-04-30,"RT @ realmoney : see signs tell us market expensive , whole sections might ridiculously che…",Negative
234,234,2019-04-30,'s kind oxymoronic ; shallow fake may actually represent deep truth ... great non-material information…,Positive
235,235,2019-04-30,Sixer win takes sting out miserable Google quarter ... .,Negative
236,236,2019-04-30,"Well , google world 's largest buyer renewable energy -- searching positives ... .",Neutral
237,237,2019-04-30,"RT @ TheStreet : fun , games tweets aside , @ JimCramer explains thinks @ ElonMusk CEO . 's probably think : …",Positive
238,238,2019-04-29,Jeez watch tonight 's @ MadMoneyOnCNBC,Neutral
239,239,2019-04-29,thanks memories ...,Positive
240,240,2019-04-29,know long remember ever hear Musk great Cook pedestrian . 's often…,Positive
241,241,2019-04-29,'s like saying plane/plain Allen Iverson ... listened Cook bashing one of…,Neutral
242,242,2019-04-29,"sparky , n't talking popularity either . need stay focused .",Neutral
243,243,2019-04-29,RT @ ScottWapnerCNBC : @ altcap @ HalftimeReport @ CNBC @ jimcramer man @ jimcramer out soon another stellar lineup . J…,Positive
244,244,2019-04-29,"RT @ TheStreet : . @ JimCramer warned 's always something gets $ GOOGL investors concerned earnings , . Catc…",Neutral
245,245,2019-04-29,rap heard years innovation . alphabet done ? Facebook ? Intel ? Microsoft ? T…,Neutral
246,246,2019-04-29,someone put together IPO basket ram higher ? Pinterest Zoom out hand !,Positive
247,247,2019-04-29,"sadly , nailed",Negative
248,248,2019-04-29,RT @ TheStreet : Kohl 's $ KSS 'screaming buy ? ' @ JimCramer says retailer play future department store :,Neutral
249,249,2019-04-29,RT @ TheStreet : $ GOOGL take another step toward $ 1 trillion market cap bar set high ? @ EricJhonsa # Stockof…,Positive
250,250,2019-04-29,"RT @ TheStreet : . @ ElonMusk , checked : @ JimCramer real proof :",Positive
251,251,2019-04-29,"Cheapest , hated stock market ?",Negative
252,252,2019-04-29,"totally true , old friend , n't able get movie lifetime White House Corresponde…",Positive
253,253,2019-04-29,"RT @ TheStreet : all-time high mean 's time sell stock ? necessarily . educational tips @ JimCramer , check out…",Positive
254,254,2019-04-29,"RT @ TheStreet : Topping @ JimCramer 's watchlist : $ MCD , $ GE , $ AAPL . Curious names @ JimCramer 's Action Alerts Plus ? Check it…",Neutral
255,255,2019-04-29,RT @ TheStreet : Spotify 's $ SPOT earnings n't put profitability concerns rest -- @ EricJhonsa Tech Check,Neutral
256,256,2019-04-29,RT @ TheStreet : magic ahead $ DIS ? 's @ JimCramer watching Magic Kingdom :,Positive
257,257,2019-04-29,"RT @ TheStreet : know @ JimCramer watching Alphabet reports bell , head over @ RealMoney @ KevinCurranRM's…",Neutral
258,258,2019-04-29,RT @ TheStreet : Looks like Endgame Marvel records :,Neutral
259,259,2019-04-29,RT @ TheStreet : correction looming ahead ? @ hmeisler breaks down patterns 's seeing :,Negative
260,260,2019-04-29,n't think works like .,Neutral
261,261,2019-04-29,RT @ TheStreet : . @ JimCramer @ marKatRoss back break down investors need know stock reaches all-time high . Lookin…,Positive
262,262,2019-04-29,@ elonmusk much good.. great time reassess legacy fray ...,Positive
263,263,2019-04-29,like Viacom -- owned charitable trust follow along,Positive
264,264,2019-04-29,RT @ TheStreet : close # StockoftheDay Alphabet come $ 1 trillion market cap ? @ KevinCurranRM breaks down $ GOOGL earnings expectati…,Negative
265,265,2019-04-29,incredibly additive franchise.. love,Positive
266,266,2019-04-29,@ SquawkStreet Mad Dash coming up -- one faves ! ! ! ! !,Negative
267,267,2019-04-29,RT @ carlquintanilla : Wow . $ DIS,Positive
268,268,2019-04-29,RT @ realmoney : fear subside around health care stocks . @ jimcramer tells us $ UNH $ ANTM $ HUM,Neutral
269,269,2019-04-29,"RT @ TheStreet : . @ ElonMusk , check out . 're pretty confident @ JimCramer fact , real :",Positive
270,270,2019-04-29,"RT @ carlquintanilla : @ beavis617 @ jimcramer three us , Jim ’ one ’ gone live hard hat",Negative
271,271,2019-04-29,. @ Sarge986 : 've got double whammy jobs plus Fed news : Market Recon,Neutral
272,272,2019-04-29,elusive ... .,Neutral
273,273,2019-04-29,pretty amazing profit-taking stock Disney since analyst meeting.. Even w…,Positive
274,274,2019-04-29,sure catch big move Dan came set ... .Chegg ; $ CHGG ;,Positive
275,275,2019-04-28,party ... .,Neutral
276,276,2019-04-28,"RT @ MadMoneyOnCNBC : . @ LockheedMartin set life F-35 . 's gone hard times . hard times over , @ JimCramer say…",Negative
277,277,2019-04-28,"got Iron Man Stark Industries hat , sell anyway. ! !",Negative
